,A,B,C,D
0,mainHall,mainHall,hallA,out
1,mainHall,other,mainHall,out
2,mainHall,mainHall,other,out
3,mainHall,hallB,other,out
4,exhibition,exhibition,mainHall,out
5,mainHall,mainHall,hallA,out
6,mainHall,other,mainHall,out
7,exhibition,mainHall,other,out
8,out,mainHall,exhibition,out
9,mainHall,mainHall,hallA,out
10,mainHall,mainHall,hallA,out
11,other,other,other,out
12,other,hallC,hallC,out
13,other,other,other,out
14,other,other,other,out
15,mainHall,mainHall,other,out
16,other,other,other,out
17,mainHall,mainHall,other,out
18,mainHall,mainHall,other,out
19,mainHall,mainHall,mainHall,out
20,mainHall,hallB,mainHall,out
21,mainHall,hallB,mainHall,out
22,other,other,out,out
23,mainHall,hallB,mainHall,out
24,mainHall,out,out,out
25,out,other,other,out
26,other,other,other,out
27,out,hallB,out,out
28,other,hallC,other,out
29,mainHall,mainHall,mainHall,out
30,out,hallB,other,out
31,out,out,out,out
32,other,other,other,out
33,mainHall,mainHall,mainHall,out
34,mainHall,mainHall,mainHall,out
35,other,other,other,out
36,exhibition,mainHall,mainHall,out
37,mainHall,mainHall,mainHall,out
38,mainHall,mainHall,mainHall,out
39,out,hallC,out,out
40,mainHall,hallB,mainHall,out
41,mainHall,mainHall,hallA,out
42,out,hallB,other,out
43,out,mainHall,mainHall,out
44,out,out,mainHall,out
45,mainHall,mainHall,hallA,out
46,mainHall,mainHall,mainHall,out
47,mainHall,mainHall,out,out
48,mainHall,mainHall,hallA,out
49,out,hallB,exhibition,out
50,out,hallB,other,out
51,mainHall,other,mainHall,out
52,mainHall,hallB,mainHall,out
53,other,other,other,other
54,mainHall,mainHall,hallA,out
55,other,hallB,other,out
56,exhibition,other,mainHall,out
57,out,hallB,other,out
58,other,hallC,out,out
59,mainHall,mainHall,hallA,out
60,mainHall,mainHall,other,out
61,mainHall,other,mainHall,out
62,out,out,other,out
63,mainHall,hallB,out,out
64,mainHall,mainHall,hallA,out
65,other,other,other,other
66,out,hallA,hallA,out
67,mainHall,mainHall,other,out
68,mainHall,mainHall,mainHall,out
69,mainHall,mainHall,hallA,out
70,mainHall,mainHall,hallA,out
71,mainHall,other,out,out
72,out,hallB,out,out
73,mainHall,other,mainHall,out
74,other,other,other,out
75,out,out,other,out
76,out,hallB,out,out
77,out,hallB,other,out
78,mainHall,hallB,mainHall,out
79,mainHall,mainHall,hallA,out
