,id,T,in,out,Room,Stay Time,Been Room5,Been Room6,Rooms Count,Been Room4,No Register,day
0,10000,85.83238636363636,31930,62143,other,183,0,0,16,0,0,2
1,10000,69.51851851851852,32070,41455,mainHall,82,0,0,9,0,0,3
2,10001,144.22619047619048,50580,62695,other,150,0,0,8,0,0,1
3,10002,72.61282660332543,31470,62040,mainHall,154,0,0,17,0,0,2
4,10002,75.408,32320,41746,other,84,0,0,8,0,0,3
5,10003,76.49056603773585,32640,44802,mainHall,158,0,0,8,0,0,1
6,10003,104.83450704225352,32090,61863,mainHall,168,0,0,13,0,0,2
7,10003,72.3169014084507,31450,41719,mainHall,106,0,0,8,0,0,3
8,10004,84.1880341880342,32580,62130,mainHall,146,0,0,15,0,0,2
9,10004,85.59633027522936,31550,40880,hallB,68,0,0,8,0,0,3
10,10005,57.450980392156865,62830,65760,diningHall,40,0,0,5,0,0,2
11,10012,113.71774193548387,30230,44331,mainHall,201,0,0,7,0,0,1
12,10012,113.26373626373626,30980,61901,other,186,0,0,16,0,0,2
13,10012,114.82291666666669,31800,42823,exhibition,96,0,0,8,0,0,3
14,10014,72.64150943396227,28930,44330,mainHall,183,0,0,12,0,0,1
15,10014,90.26062322946177,31310,63172,mainHall,161,0,0,15,0,0,2
16,10014,81.94927536231884,31940,43249,mainHall,102,0,0,10,0,0,3
17,10015,97.91916167664671,29850,62555,mainHall,203,0,0,14,0,0,1
18,10015,98.13664596273293,31200,62800,mainHall,182,0,0,15,0,0,2
19,10015,52.42,31700,42184,mainHall,72,0,0,9,0,0,3
20,10018,65.85148514851485,37950,44601,mainHall,80,0,0,8,0,0,1
21,10018,99.79682539682541,30620,62056,mainHall,165,0,0,16,0,0,2
22,10019,83.65394402035624,30230,63106,other,190,0,0,14,0,1,1
23,10019,107.60714285714286,31730,67886,room2,220,0,0,14,0,1,2
24,10021,104.24817518248176,30230,44512,mainHall,203,0,0,8,0,0,1
25,10021,128.49,31980,44829,mainHall,176,0,0,6,0,0,2
26,10021,54.582524271844655,31680,42924,mainHall,54,0,0,13,0,0,3
27,10022,90.6625,29850,44356,mainHall,168,0,0,10,0,0,1
28,10022,98.72347266881027,31760,62463,other,213,0,0,13,0,0,2
