,id,T,in,out,Room,Stay Time,Been Room5,Been Room6,Rooms Count,Been Room4
0,10000,85.83238636363636,31930,62143,other,183,0,0,16,0
1,10002,72.61282660332543,31470,62040,mainHall,154,0,0,17,0
2,10003,104.83450704225352,32090,61863,mainHall,168,0,0,13,0
3,10004,84.1880341880342,32580,62130,mainHall,146,0,0,15,0
4,10005,57.450980392156865,62830,65760,diningHall,40,0,0,5,0
5,10012,113.26373626373626,30980,61901,other,186,0,0,16,0
6,10014,90.26062322946177,31310,63172,mainHall,161,0,0,15,0
7,10015,98.13664596273293,31200,62800,mainHall,182,0,0,15,0
8,10018,99.79682539682541,30620,62056,mainHall,165,0,0,16,0
9,10019,107.60714285714286,31730,67886,room2,220,0,0,14,0
10,10021,128.49,31980,44829,mainHall,176,0,0,6,0
11,10022,98.72347266881027,31760,62463,other,213,0,0,13,0
12,10023,92.45945945945944,46810,50231,exhibition,50,0,0,4,0
13,10026,145.1290322580645,31350,44847,mainHall,187,0,0,7,0
14,10027,95.94321766561514,32250,62664,mainHall,162,0,0,15,0
15,10032,138.84158415841586,48580,62603,hallD,106,0,0,8,0
16,10037,228.4056603773585,30940,55151,room5,339,1,0,9,0
17,10041,233.5546875,31180,61075,room5,424,1,0,9,0
18,10043,37.692307692307686,46510,47980,other,14,0,0,5,0
19,10045,103.1851851851852,32000,62646,mainHall,173,0,0,14,0
20,10046,260.32758620689657,32310,62508,room5,172,1,0,11,0
21,10049,88.24089635854341,31580,63082,other,177,0,0,16,0
22,10050,48.657894736842096,45720,47569,other,16,0,0,5,0
23,10051,107.4290780141844,32310,62605,mainHall,172,0,0,15,0
24,10053,96.97697368421049,32450,61931,other,167,0,0,12,0
25,10056,103.61872909698995,32210,63192,mainHall,169,0,0,13,0
26,10058,93.44444444444444,31890,62166,mainHall,145,0,0,13,0
27,10060,89.94230769230771,45390,50067,exhibition,65,0,0,6,0
28,10068,84.97674418604652,46520,50174,exhibition,31,0,0,5,0
29,10077,86.59281437125748,32660,47121,mainHall,150,0,0,10,0
30,10080,60.36666666666667,46750,50372,exhibition,50,0,0,5,0
31,10081,97.3153153153153,30780,63186,mainHall,161,0,0,16,0
32,10082,88.65988372093024,31600,62099,mainHall,163,0,0,15,0
33,10083,74.73953488372094,30740,62878,mainHall,161,0,0,15,0
34,10084,115.7148288973384,32420,62853,mainHall,172,0,0,13,0
35,10085,91.30994152046783,31310,62538,mainHall,170,0,0,13,0
36,10088,85.26315789473685,46900,50140,exhibition,45,0,0,4,0
37,10089,118.85046728971965,49140,61857,hallB,92,0,0,9,0
38,10090,230.04545454545453,31140,61506,other,270,1,0,11,0
39,10092,109.07594936708858,45440,62674,other,101,0,0,9,0
40,10093,117.27083333333331,46370,63257,hallD,115,0,0,10,0
41,10094,92.14285714285714,31950,62910,other,174,0,0,15,0
42,10095,27.92696629213483,34550,39521,other,52,0,0,9,0
43,10098,85.34814814814816,50380,61902,other,82,0,0,9,0
44,10101,141.96035242290748,30780,63005,mainHall,165,0,0,15,0
45,10107,90.50867052023123,31300,62616,mainHall,172,0,0,15,0
46,10108,107.4867256637168,49910,62056,hallB,84,0,0,9,0
47,10109,132.77037037037036,45170,63094,other,208,0,0,11,0
48,10111,116.65016501650163,32390,67735,mainHall,171,0,0,13,0
49,10112,79.18518518518519,45700,49976,exhibition,47,0,0,5,0
50,10115,72.35227272727273,31510,44244,mainHall,163,0,0,11,0
51,10117,105.472131147541,30840,63009,mainHall,165,0,0,13,0
52,10118,86.81395348837209,36070,39803,exhibition,50,0,0,4,0
53,10121,118.12562814070351,32130,55637,other,213,1,0,11,0
54,10123,109.34385964912279,30960,62123,other,186,0,0,13,0
55,10127,74.0469798657718,30770,41803,mainHall,117,0,0,7,0
56,10134,100.51935483870967,31780,62941,mainHall,171,0,0,14,0
57,10135,80.5925925925926,45960,50312,exhibition,54,0,0,5,0
58,10136,110.41868512110727,30960,62871,mainHall,177,0,0,14,0
59,10137,94.32051282051279,32620,62048,other,175,0,0,13,0
60,10141,121.29761904761904,32490,63057,other,179,0,0,14,0
61,10142,97.44186046511628,45930,62690,hallD,146,0,0,10,0
62,10143,97.46178343949043,32210,62813,mainHall,170,0,0,14,0
63,10145,65.36363636363636,40380,43975,mainHall,32,0,0,5,0
64,10146,107.5457746478873,31440,61983,mainHall,179,0,0,16,0
65,10147,123.34220532319391,30700,63139,mainHall,178,0,0,15,0
66,10150,116.70220588235294,30990,62733,other,212,0,0,15,0
67,10151,128.0860655737705,31470,62723,mainHall,174,0,0,14,0
68,10152,118.0197628458498,32560,62419,other,245,0,0,15,0
69,10155,83.46938775510205,40550,44640,exhibition,51,0,0,5,0
70,10157,86.10493827160494,48730,62679,hallB,118,0,0,12,0
71,10160,85.54166666666667,31910,46281,mainHall,158,0,0,10,0
72,10161,130.8877551020408,49860,62687,hallC,95,0,0,10,0
73,10162,64.74528301886792,31020,44746,mainHall,147,0,0,13,0
74,10163,87.62179487179488,30960,44629,mainHall,159,0,0,11,0
75,10164,323.77064220183485,27900,63191,register,522,0,1,6,0
76,10167,81.23433242506812,32130,61943,mainHall,118,0,0,13,0
77,10170,118.198347107438,32500,46802,mainHall,177,0,0,9,0
78,10172,96.69811320754715,31270,62020,mainHall,170,0,0,15,0
79,10173,126.11607142857143,48810,62935,hallD,181,0,0,9,0
80,10174,128.19417475728156,49790,62994,other,122,0,0,8,0
81,10178,90.52727272727272,33330,63204,mainHall,153,0,0,14,0
82,10181,145.41700404858298,31960,67878,room2,172,0,0,12,0
83,10183,92.50420168067228,40580,62596,other,121,0,0,14,0
84,10185,102.20065789473685,32010,63079,mainHall,164,0,0,12,0
85,10186,111.93548387096772,45660,63010,hallB,119,0,0,10,0
86,10188,109.80769230769228,45840,62970,other,164,0,0,9,0
87,10190,55.01052631578948,45180,50406,exhibition,56,0,0,6,0
88,10192,83.77777777777777,32560,62720,other,136,0,0,12,0
89,10193,84.29919137466307,31740,63015,mainHall,164,0,0,15,0
90,10194,108.90526315789472,31510,62548,mainHall,172,0,0,12,0
91,10196,210.37724550898204,27430,62563,other,416,0,1,8,0
92,10204,70.00740740740741,32320,41771,mainHall,117,0,0,7,0
93,10205,115.98872180451129,31700,62553,mainHall,166,0,0,14,0
94,10206,78.31944444444444,32150,37789,other,48,0,0,6,0
95,10214,97.0,30690,65998,room4,220,0,0,12,1
96,10215,111.89338235294115,31490,61925,mainHall,176,0,0,14,0
97,10216,87.35802469135803,32490,46642,mainHall,168,0,0,9,0
98,10217,77.61538461538461,45960,49996,exhibition,40,0,0,5,0
99,10218,126.6422018348624,34400,62008,recreationArea,151,0,0,14,0
100,10221,103.87296416938108,30620,62509,other,119,0,0,16,0
101,10225,70.77325581395348,32160,44333,mainHall,144,0,0,9,0
102,10228,103.31851851851853,48880,62828,hallD,162,0,0,9,0
103,10231,87.57183098591551,31970,63058,mainHall,152,0,0,15,0
104,10232,272.62857142857143,32470,61096,other,449,1,0,8,0
105,10233,93.1818181818182,32500,41725,mainHall,115,0,0,7,0
106,10236,146.15555555555557,49870,63024,hallC,109,0,0,8,0
107,10240,98.57006369426752,31030,61981,mainHall,169,0,0,15,0
108,10243,121.3095238095238,31390,61960,room2,175,0,0,12,0
109,10245,106.73088685015293,31760,66661,mainHall,169,0,0,11,0
110,10246,69.31147540983606,31050,35278,mainHall,43,0,0,7,0
111,10249,72.24413145539907,46440,61828,exhibition,89,0,0,12,0
112,10252,103.86759581881529,32360,62170,other,185,0,0,14,0
113,10256,118.67241379310344,31050,44816,mainHall,173,0,0,8,0
114,10261,79.56,46120,62032,hallB,70,0,0,13,0
115,10264,95.94362017804156,30900,63233,other,190,0,0,14,0
116,10265,121.1171875,32150,63156,mainHall,146,0,0,13,0
117,10266,101.91776315789473,31910,62893,other,166,0,0,14,0
118,10271,76.95696202531646,32670,63068,mainHall,160,0,0,15,0
119,10272,73.24528301886792,31610,62666,mainHall,165,0,0,16,0
120,10275,55.253731343283576,46490,50192,exhibition,24,0,0,6,0
121,10279,124.71428571428572,49900,62995,hallB,121,0,0,9,0
122,10280,95.64831804281346,31400,62677,other,178,0,0,13,0
123,10282,139.34649122807016,31030,62801,mainHall,175,0,0,11,0
124,10284,197.36241610738256,32210,61617,room5,423,1,0,10,0
125,10289,87.80167597765362,31870,63303,mainHall,167,0,0,15,0
126,10290,139.63114754098362,45490,62525,hallD,160,0,0,10,0
127,10291,85.40983606557377,62360,67570,diningHall,70,0,0,6,0
128,10292,139.72052401746728,30970,62966,mainHall,177,0,0,15,0
129,10293,113.98220640569392,30960,62989,mainHall,176,0,0,14,0
130,10295,117.0,32670,62856,mainHall,161,0,0,12,0
131,10296,136.8590909090909,32490,62599,mainHall,174,0,0,13,0
132,10298,109.7438596491228,31530,62807,mainHall,162,0,0,16,0
133,10301,91.54545454545456,46890,49911,exhibition,39,0,0,6,0
134,10305,77.68085106382979,46450,50101,exhibition,38,0,0,5,0
135,10309,273.03846153846155,41630,62927,hallB,214,0,1,8,0
136,10311,89.70454545454545,38210,61892,exhibition,88,0,0,14,0
137,10314,38.55813953488372,34760,39734,other,49,0,0,7,0
138,10316,81.33928571428571,46040,50595,exhibition,58,0,0,5,0
139,10317,129.3684210526316,32520,62016,exhibition,188,0,0,14,0
140,10319,94.15522388059702,31340,62882,mainHall,158,0,0,17,0
141,10320,98.84177215189872,32060,63294,mainHall,155,0,0,12,0
142,10321,99.2087542087542,32500,61965,mainHall,165,0,0,15,0
143,10322,40.91139240506329,54030,57262,other,30,0,0,6,0
144,10324,103.20512820512822,32560,44635,mainHall,156,0,0,6,0
145,10325,118.17692307692309,32280,63006,mainHall,168,0,0,13,0
146,10326,142.65882352941176,50610,62736,hallB,88,0,0,9,0
147,10329,98.88709677419355,32220,44482,mainHall,163,0,0,8,0
148,10331,78.00497512437809,31370,62728,mainHall,156,0,0,13,0
149,10334,73.47852760736197,32440,44417,mainHall,148,0,0,7,0
