,A,B,C,D,E,F
0,out,out,out,other,other,hallD
1,out,mainHall,out,out,out,out
2,out,mainHall,out,out,out,out
3,out,mainHall,out,out,out,out
4,out,mainHall,other,hallD,recreationArea,other
5,out,out,out,out,out,out
6,out,mainHall,diningHall,hallA,other,hallA
7,out,mainHall,out,out,out,out
8,out,mainHall,out,out,out,out
9,out,out,out,hallC,recreationArea,other
10,out,mainHall,other,out,out,out
11,out,mainHall,out,out,out,out
12,out,other,other,other,out,out
13,out,other,other,other,other,out
14,out,mainHall,out,out,out,out
15,out,other,diningHall,other,other,out
16,out,mainHall,out,out,out,out
17,out,mainHall,other,out,out,out
18,out,mainHall,out,out,out,out
19,out,mainHall,out,out,out,out
20,out,mainHall,other,hallC,other,hallC
21,out,out,out,hallB,recreationArea,other
22,out,other,out,out,out,out
23,other,mainHall,other,out,out,out
24,out,out,out,hallB,recreationArea,hallB
25,out,out,out,other,other,hallB
26,out,mainHall,out,out,out,out
27,out,mainHall,other,hallD,exhibition,recreationArea
28,out,mainHall,out,out,out,out
29,out,mainHall,exhibition,hallD,recreationArea,hallD
30,out,other,out,out,out,out
31,out,other,other,other,other,out
32,out,out,out,other,recreationArea,recreationArea
33,out,out,out,hallA,hallA,hallA
34,out,mainHall,other,out,out,out
35,out,other,out,out,out,out
36,out,out,out,hallA,other,hallA
37,out,mainHall,out,out,out,out
38,out,mainHall,diningHall,hallB,exhibition,recreationArea
39,out,mainHall,diningHall,hallB,hallA,other
40,out,mainHall,other,hallC,recreationArea,hallD
41,out,mainHall,other,other,other,other
42,out,other,other,other,out,out
43,out,mainHall,out,out,out,out
44,out,out,out,out,out,out
45,out,mainHall,other,hallC,exhibition,other
46,out,mainHall,out,out,out,out
47,out,out,out,hallA,other,hallA
48,out,mainHall,diningHall,hallD,exhibition,recreationArea
49,out,mainHall,out,out,out,out
50,out,mainHall,other,hallC,other,hallC
51,out,exhibition,out,out,out,out
52,out,out,out,out,out,out
53,out,mainHall,diningHall,hallD,other,recreationArea
54,out,other,out,out,out,out
55,out,exhibition,out,out,out,out
56,out,mainHall,other,out,out,out
57,out,mainHall,other,hallB,recreationArea,hallB
58,out,mainHall,other,hallB,other,recreationArea
59,other,other,other,other,other,other
60,out,mainHall,diningHall,hallB,recreationArea,recreationArea
61,out,mainHall,out,out,out,out
62,out,mainHall,out,out,out,out
63,out,mainHall,out,out,out,out
64,out,mainHall,out,out,out,out
65,out,mainHall,other,hallC,recreationArea,other
66,out,out,exhibition,out,out,out
67,out,mainHall,diningHall,hallD,other,other
68,out,mainHall,out,out,out,out
69,other,other,other,other,other,other
70,out,mainHall,other,out,out,out
71,out,out,out,hallB,exhibition,other
72,out,mainHall,diningHall,hallD,recreationArea,recreationArea
73,out,mainHall,diningHall,recreationArea,other,recreationArea
74,out,mainHall,other,hallC,recreationArea,hallC
75,out,mainHall,other,other,other,hallB
76,out,mainHall,out,out,out,out
77,out,out,out,out,out,out
78,out,mainHall,out,out,out,out
79,out,mainHall,other,recreationArea,other,recreationArea
80,out,other,other,other,other,out
81,out,mainHall,diningHall,hallB,other,hallB
82,out,out,out,hallD,recreationArea,hallD
83,out,mainHall,out,out,out,out
84,out,mainHall,out,out,out,out
85,out,mainHall,other,other,other,other
86,out,out,exhibition,recreationArea,other,exhibition
87,out,out,out,out,out,out
88,out,mainHall,recreationArea,exhibition,recreationArea,recreationArea
89,out,mainHall,diningHall,hallD,other,recreationArea
90,out,out,out,out,out,out
91,out,mainHall,other,out,out,out
92,out,mainHall,out,out,out,out
93,out,mainHall,other,hallC,recreationArea,recreationArea
94,out,mainHall,diningHall,other,recreationArea,hallB
95,out,mainHall,diningHall,other,recreationArea,hallC
96,out,out,out,hallD,other,hallD
97,out,mainHall,other,exhibition,exhibition,hallD
98,out,out,out,hallD,recreationArea,exhibition
99,out,mainHall,out,out,out,out
100,out,other,other,other,other,out
101,out,mainHall,other,out,out,out
102,out,mainHall,out,out,out,out
103,out,mainHall,out,out,out,out
104,out,out,out,out,out,out
105,out,mainHall,other,out,out,out
106,out,out,out,hallD,other,hallD
107,out,out,other,hallB,hallB,hallB
108,out,out,out,hallA,other,other
109,out,mainHall,diningHall,hallC,recreationArea,recreationArea
110,out,mainHall,other,recreationArea,exhibition,exhibition
111,out,mainHall,diningHall,hallC,other,other
112,out,mainHall,out,out,out,out
113,out,out,out,other,other,other
114,out,mainHall,diningHall,exhibition,recreationArea,hallC
115,out,out,out,out,out,out
116,out,mainHall,other,hallC,recreationArea,hallB
117,out,out,out,out,out,out
118,out,mainHall,other,out,out,out
119,out,mainHall,out,out,out,out
120,out,mainHall,out,out,out,out
121,out,mainHall,out,out,out,out
122,out,mainHall,other,hallC,other,other
123,out,mainHall,out,out,out,out
124,out,out,out,exhibition,exhibition,hallB
125,out,mainHall,out,out,out,out
126,out,other,other,other,out,out
127,out,mainHall,other,out,out,out
128,out,out,out,hallA,other,hallA
129,out,mainHall,diningHall,hallC,other,hallD
130,out,mainHall,out,out,out,out
131,out,mainHall,out,out,out,out
132,out,mainHall,out,out,out,out
133,out,out,out,hallB,other,hallA
134,out,mainHall,out,out,out,out
135,out,other,other,other,out,out
136,out,mainHall,other,out,out,out
137,out,mainHall,other,hallA,other,hallC
138,out,out,out,hallB,other,hallA
139,out,other,other,other,out,out
140,out,mainHall,out,out,out,out
141,out,mainHall,out,out,out,out
142,out,mainHall,other,hallA,other,hallB
143,out,mainHall,out,out,out,out
144,out,mainHall,other,hallB,other,hallB
145,out,other,out,out,out,out
146,out,out,out,hallD,recreationArea,hallD
147,out,out,out,out,out,out
148,out,out,out,other,other,hallD
149,out,other,other,other,other,out
150,out,out,out,hallA,other,hallA
151,out,out,other,other,recreationArea,recreationArea
152,out,mainHall,diningHall,hallC,other,recreationArea
153,out,out,out,hallD,other,hallD
154,out,out,out,hallC,other,recreationArea
155,out,mainHall,diningHall,hallD,recreationArea,other
156,out,exhibition,other,hallC,hallC,out
157,out,other,out,out,out,out
158,out,mainHall,out,out,out,out
159,out,mainHall,out,out,out,out
160,out,mainHall,recreationArea,exhibition,other,recreationArea
161,out,mainHall,out,out,out,out
162,out,mainHall,out,out,out,out
163,out,mainHall,other,out,out,out
164,out,mainHall,other,other,recreationArea,hallC
165,out,mainHall,other,other,recreationArea,other
166,out,mainHall,other,other,exhibition,recreationArea
167,out,mainHall,diningHall,hallB,recreationArea,recreationArea
168,out,mainHall,diningHall,other,other,other
169,out,mainHall,diningHall,hallC,other,hallC
170,out,out,out,hallA,other,hallA
171,out,out,out,out,out,out
172,out,mainHall,diningHall,hallD,other,other
173,out,mainHall,out,out,out,out
174,out,mainHall,other,hallC,other,hallC
175,out,mainHall,other,hallB,recreationArea,hallB
176,out,mainHall,diningHall,other,exhibition,recreationArea
177,out,mainHall,out,out,out,out
178,out,mainHall,diningHall,exhibition,exhibition,recreationArea
179,out,mainHall,out,out,out,out
180,out,mainHall,out,out,out,out
181,out,out,out,hallA,other,hallA
182,out,out,out,other,recreationArea,recreationArea
183,out,mainHall,other,out,out,out
184,out,exhibition,out,out,out,out
185,out,other,other,other,out,out
186,out,mainHall,diningHall,hallC,other,other
187,out,out,out,hallA,other,other
188,out,out,recreationArea,hallC,other,hallC
189,out,mainHall,out,out,out,out
190,out,mainHall,other,other,exhibition,recreationArea
191,out,mainHall,diningHall,hallA,hallA,hallB
192,out,out,out,out,out,out
193,out,other,other,other,out,out
194,out,mainHall,other,hallA,other,other
195,out,mainHall,diningHall,other,hallA,other
196,out,out,out,hallD,other,hallD
197,out,mainHall,other,out,out,out
198,out,mainHall,other,other,hallA,hallB
199,out,out,out,hallD,other,hallD
200,out,mainHall,other,other,other,hallB
201,out,out,out,hallD,recreationArea,hallD
202,out,out,out,out,out,out
203,out,mainHall,other,out,out,out
204,out,mainHall,other,hallC,other,recreationArea
205,out,mainHall,other,exhibition,recreationArea,recreationArea
206,out,mainHall,diningHall,other,other,hallC
207,out,mainHall,other,hallC,recreationArea,hallC
208,out,mainHall,diningHall,other,recreationArea,hallD
209,out,mainHall,diningHall,hallC,other,recreationArea
210,out,mainHall,diningHall,out,out,out
211,out,mainHall,other,exhibition,other,hallD
212,out,mainHall,diningHall,hallC,other,hallC
213,out,other,other,other,other,out
214,out,out,out,hallB,other,hallC
215,other,other,other,other,other,other
216,out,mainHall,other,hallC,exhibition,recreationArea
217,out,out,out,hallC,other,hallC
218,out,mainHall,out,out,out,out
219,out,out,out,out,out,out
220,out,mainHall,other,hallD,exhibition,hallD
221,out,mainHall,other,hallC,recreationArea,hallD
222,out,mainHall,other,hallB,recreationArea,hallB
223,out,mainHall,out,out,out,out
224,out,mainHall,out,out,out,out
225,out,out,out,other,exhibition,hallB
226,out,mainHall,diningHall,exhibition,exhibition,hallC
227,out,mainHall,out,out,out,out
228,out,mainHall,other,hallC,recreationArea,hallC
229,out,out,out,hallB,recreationArea,other
230,out,out,out,hallA,other,recreationArea
231,out,out,out,hallC,other,hallC
232,out,mainHall,diningHall,exhibition,other,hallB
233,out,mainHall,out,out,out,out
234,out,mainHall,out,out,out,out
235,out,out,out,hallA,other,hallA
236,out,out,out,hallD,exhibition,recreationArea
237,out,out,out,hallD,recreationArea,hallD
238,out,other,out,out,out,out
239,out,mainHall,other,out,out,out
240,out,mainHall,diningHall,hallC,other,other
241,out,out,out,hallD,other,hallD
242,out,mainHall,other,out,out,out
243,out,out,other,hallD,hallD,hallD
244,out,mainHall,diningHall,recreationArea,other,hallC
245,out,out,out,hallA,other,hallA
246,out,mainHall,other,out,out,out
247,out,out,out,exhibition,recreationArea,other
248,out,mainHall,out,out,out,out
249,out,mainHall,diningHall,hallB,recreationArea,recreationArea
250,out,out,out,hallB,exhibition,recreationArea
251,out,mainHall,out,out,out,out
252,out,out,out,hallC,recreationArea,hallC
253,out,out,out,out,out,out
254,out,out,out,hallA,other,hallA
255,out,mainHall,other,hallD,exhibition,other
256,out,out,other,hallD,recreationArea,hallD
257,out,other,other,other,other,out
258,out,exhibition,other,out,out,out
259,out,mainHall,other,other,recreationArea,other
260,out,mainHall,other,exhibition,other,other
261,out,out,out,hallA,other,hallA
262,out,mainHall,diningHall,other,recreationArea,hallD
263,other,other,other,other,other,other
264,out,out,out,hallA,other,other
265,out,mainHall,other,exhibition,recreationArea,hallB
266,out,mainHall,out,out,out,out
267,out,mainHall,other,hallA,other,hallA
268,out,out,out,hallB,other,recreationArea
269,out,out,out,out,out,out
270,out,mainHall,out,out,out,out
271,out,other,other,other,out,out
272,out,mainHall,diningHall,other,other,other
273,out,mainHall,out,out,out,out
274,out,out,out,other,recreationArea,recreationArea
275,out,mainHall,diningHall,hallA,recreationArea,hallB
276,out,out,out,other,other,hallD
277,out,out,out,hallB,other,other
278,out,mainHall,out,out,out,out
279,out,out,out,exhibition,recreationArea,hallD
280,out,mainHall,out,out,out,out
281,out,mainHall,diningHall,out,out,out
282,out,mainHall,other,other,recreationArea,hallB
283,out,out,out,hallC,recreationArea,other
284,out,mainHall,other,out,out,out
285,out,mainHall,diningHall,other,recreationArea,recreationArea
286,out,out,out,out,out,out
287,out,mainHall,other,out,out,out
288,out,out,out,hallC,other,hallC
289,out,mainHall,diningHall,hallB,other,recreationArea
290,out,mainHall,other,hallC,other,recreationArea
291,out,out,out,other,other,hallA
292,out,exhibition,out,out,out,out
293,out,mainHall,out,out,out,out
294,out,mainHall,out,out,out,out
295,out,out,out,out,out,out
296,out,mainHall,out,out,out,out
297,out,mainHall,out,out,out,out
298,out,mainHall,diningHall,other,recreationArea,other
299,out,out,out,hallC,other,hallD
300,out,mainHall,diningHall,hallC,other,other
301,out,out,out,hallA,other,hallA
302,out,mainHall,other,exhibition,recreationArea,recreationArea
303,out,mainHall,out,out,out,out
304,out,mainHall,diningHall,hallC,recreationArea,hallB
305,out,exhibition,out,out,out,out
306,out,mainHall,diningHall,hallC,hallA,other
307,out,mainHall,diningHall,hallC,recreationArea,hallD
308,out,mainHall,out,out,out,out
309,out,mainHall,diningHall,other,other,other
310,out,out,out,hallB,recreationArea,recreationArea
311,out,mainHall,diningHall,other,other,other
312,out,out,out,hallA,other,hallA
313,out,out,out,hallD,recreationArea,hallD
314,out,out,out,exhibition,exhibition,exhibition
315,out,mainHall,other,out,out,out
316,out,out,out,out,out,out
317,out,out,out,hallC,exhibition,recreationArea
318,out,out,out,out,out,out
319,out,mainHall,out,out,out,out
320,out,mainHall,out,out,out,out
321,out,mainHall,other,hallB,other,hallB
322,out,other,other,hallD,other,out
323,out,other,other,other,out,out
324,out,other,other,other,out,out
325,out,other,out,out,out,out
