,A,B,C,D,E,F
0,out,mainHall,diningHall,other,recreationArea,other
1,out,mainHall,other,hallC,exhibition,other
2,out,mainHall,diningHall,other,recreationArea,other
3,out,mainHall,diningHall,hallC,recreationArea,other
4,out,out,out,out,out,out
5,out,mainHall,diningHall,hallC,other,other
6,out,mainHall,other,hallD,other,hallD
7,out,mainHall,other,hallB,hallA,other
8,out,mainHall,diningHall,hallB,recreationArea,other
9,out,other,other,other,other,other
10,out,mainHall,out,out,out,out
11,out,mainHall,other,other,recreationArea,other
12,out,out,out,out,out,out
13,out,mainHall,out,out,out,out
14,out,mainHall,diningHall,hallD,recreationArea,other
15,out,out,out,hallD,other,other
16,out,other,other,other,out,out
17,out,other,other,other,other,out
18,out,out,out,out,out,out
19,out,mainHall,other,hallC,other,exhibition
20,out,other,diningHall,other,other,other
21,out,mainHall,diningHall,other,other,hallC
22,out,out,out,out,out,out
23,out,mainHall,other,hallD,other,other
24,out,mainHall,diningHall,other,recreationArea,other
25,out,mainHall,other,hallB,recreationArea,other
26,out,mainHall,other,hallB,recreationArea,other
27,out,out,out,out,out,out
28,out,out,out,out,out,out
29,out,mainHall,diningHall,out,out,out
30,out,out,out,out,out,out
31,out,mainHall,other,hallD,other,hallC
32,out,mainHall,diningHall,hallB,recreationArea,other
33,out,mainHall,diningHall,recreationArea,exhibition,other
34,out,mainHall,other,hallB,other,other
35,out,mainHall,other,hallB,other,hallB
36,out,out,out,out,out,out
37,out,out,out,hallB,recreationArea,other
38,out,other,other,other,other,other
39,out,out,out,other,hallA,hallA
40,out,out,out,hallD,recreationArea,hallC
41,out,mainHall,other,other,recreationArea,other
42,out,exhibition,out,out,out,out
43,out,out,out,hallA,other,other
44,out,mainHall,diningHall,hallC,other,other
45,out,mainHall,other,hallC,recreationArea,hallC
46,out,out,out,hallB,recreationArea,other
47,out,out,out,other,recreationArea,hallA
48,out,mainHall,diningHall,hallB,other,other
49,out,out,out,out,out,out
50,out,mainHall,out,out,out,out
51,out,mainHall,diningHall,hallA,other,hallA
52,out,out,out,out,out,out
53,out,other,other,other,out,out
54,out,mainHall,diningHall,other,other,other
55,out,mainHall,out,out,out,out
56,out,mainHall,other,hallB,recreationArea,hallA
57,out,out,out,out,out,out
58,out,mainHall,diningHall,hallB,recreationArea,hallA
59,out,mainHall,diningHall,other,other,other
60,out,mainHall,other,other,recreationArea,hallC
61,out,out,out,hallD,other,hallD
62,out,mainHall,other,hallB,other,other
63,out,out,out,out,out,out
64,out,mainHall,other,hallB,other,other
65,out,mainHall,diningHall,hallC,other,hallA
66,out,mainHall,other,other,other,hallC
67,out,mainHall,diningHall,hallB,other,hallB
68,out,mainHall,diningHall,other,recreationArea,other
69,out,out,out,out,out,out
70,out,out,out,hallB,recreationArea,hallB
71,out,mainHall,diningHall,out,out,out
