,id,T,in,out,Room,Stay Time,Been Room5,Been Room6,Rooms Count,Been Room4,No Register
0,10001,9.30451694836722e-06,0.11455180442374854,0.7844941372461075,other,0.6,0,0,0.3555555555555556,0,0
1,10003,1.7544059394489425e-05,0.6714784633294529,0.3259050426090857,mainHall,0.632,0,0,0.3555555555555556,0,0
2,10012,1.1800753434283742e-05,0.7462941404734188,0.3138335362337413,mainHall,0.804,0,0,0.3111111111111111,0,0
3,10014,1.8473666697470167e-05,0.7866511447419481,0.3138079067085282,mainHall,0.732,0,0,0.5333333333333333,0,0
4,10015,1.370472347501933e-05,0.7580908032596043,0.7809060037162812,mainHall,0.812,0,0,0.6222222222222222,0,0
5,10018,2.03785082547135e-05,0.5066356228172294,0.3207535080412636,mainHall,0.32,0,0,0.3555555555555556,0,0
6,10019,1.604174255499064e-05,0.7462941404734188,0.7950278721086692,other,0.76,0,0,0.6222222222222222,0,1
7,10021,1.2872695673906246e-05,0.7462941404734188,0.3184724802973025,mainHall,0.812,0,0,0.3555555555555556,0,0
8,10022,1.4801654859331629e-05,0.7580908032596043,0.3144742743640674,mainHall,0.672,0,0,0.4444444444444445,0,0
9,10023,9.739996212223694e-06,0.11796662786185487,0.7889793041583905,hallC,0.436,0,0,0.4,0,0
10,10026,1.9970406076624373e-05,0.7251843228560342,0.33669507272377786,mainHall,0.7,0,0,0.4888888888888889,0,0
11,10027,1.670562214799908e-05,0.7307722157547536,0.32759659127314666,mainHall,0.672,0,0,0.4888888888888889,0,0
12,10037,5.919519336939363e-06,0.6758246022506791,0.5916319600179406,other,0.7440000000000001,1,0,0.3555555555555556,0,0
13,10041,4.783982865794992e-06,0.6904152114862243,0.7174985583392068,room5,1.648,1,0,0.4444444444444445,0,0
14,10045,1.7170483294663956e-05,0.7093519596429958,0.3194464022553982,mainHall,0.728,0,0,0.3555555555555556,0,0
15,10046,7.072535342093022e-06,0.7220799379123012,0.7067341577497277,room5,1.204,1,0,0.4888888888888889,0,0
16,10049,1.817765581766354e-05,0.5972836631742336,0.3233164605625681,mainHall,0.46799999999999997,0,0,0.3555555555555556,0,0
17,10051,2.339506831244571e-05,0.7611951882033372,0.3355930031396168,mainHall,0.6960000000000001,0,0,0.4888888888888889,0,0
18,10053,1.163424737635142e-05,0.6016298020954598,0.3201896584865765,mainHall,0.5,0,0,0.22222222222222224,0,0
19,10056,1.5555117426042762e-05,0.7192859914629415,0.3174472992887807,mainHall,0.648,0,0,0.3555555555555556,0,0
20,10058,1.4165196300458016e-05,0.7320139697322469,0.7921829948100212,mainHall,0.792,0,0,0.6222222222222222,0,0
21,10062,1.0122055852827596e-05,0.1362824990298797,0.7856474658806946,hallB,0.416,0,0,0.4444444444444445,0,0
22,10070,4.050657921086698e-05,0.579278230500582,0.1888127122445057,other,0.168,0,0,0.3111111111111111,0,0
23,10077,1.1663460324589903e-05,0.7913077221575476,0.3340039725764081,mainHall,0.792,0,0,0.3555555555555556,0,0
24,10078,1.3330679142557815e-05,0.1465269693441987,0.7958992759659127,hallB,0.636,0,0,0.4444444444444445,0,0
25,10080,1.036342074118564e-05,0.12107101280558792,0.7872108669186904,other,0.596,0,0,0.3111111111111111,0,0
26,10082,1.5656770845626192e-05,0.7475358944509121,0.31606330492727625,mainHall,0.7760000000000001,0,0,0.4,0,0
27,10083,1.2687438164252452e-05,0.6426076833527358,0.7699621964503107,mainHall,0.54,0,0,0.6222222222222222,0,0
28,10084,2.504658743835595e-05,0.7490880869227785,0.3181392964695329,mainHall,0.68,0,0,0.5777777777777778,0,0
29,10085,1.4374656706455905e-05,0.7003492433061701,0.7775485359133723,mainHall,0.672,0,0,0.5777777777777778,0,0
30,10087,3.4932750175999184e-05,0.6034924330616996,0.19832126609854556,other,0.128,0,0,0.3555555555555556,0,0
31,10090,8.031390349621855e-06,0.6764454792394257,0.7338245658999167,room5,1.604,1,0,0.4888888888888889,0,0
32,10091,8.872429974771261e-06,0.13659293752425306,0.7659127314666496,other,0.416,0,0,0.4,0,0
33,10092,8.176092877985863e-06,0.11393092743500195,0.7942077273018517,hallA,0.688,0,0,0.26666666666666666,0,0
34,10094,1.4009516302888642e-05,0.7624369421808305,0.3343627859293907,mainHall,0.772,0,0,0.4444444444444445,0,0
35,10097,3.1153231754642405e-05,0.5705859526581296,0.18471198821041845,other,0.12,0,0,0.26666666666666666,0,0
36,10098,1.3515814048409338e-05,0.16453240201785024,0.786441981162299,hallA,0.4320000000000001,0,0,0.3111111111111111,0,0
37,10101,2.055237049178094e-05,0.6987970508343034,0.3213173575959505,mainHall,0.632,0,0,0.4444444444444445,0,0
38,10107,1.3875819945642362e-05,0.7754753589445091,0.7710898955596848,mainHall,0.804,0,0,0.6222222222222222,0,0
39,10111,1.3601622691220846e-05,0.7273573923166473,0.7671173191516627,mainHall,0.8,0,0,0.5333333333333333,0,1
40,10115,9.8205025876604e-06,0.7407062475746993,0.7835714743384379,mainHall,0.8240000000000001,0,0,0.6222222222222222,0,0
41,10117,1.0788931050114702e-05,0.7518820333721381,0.7894150060870122,other,0.908,0,0,0.6222222222222222,0,0
42,10121,8.616172910030395e-06,0.7195964299573148,0.5931953610559364,other,1.396,1,0,0.4888888888888889,0,0
43,10123,1.4323546341012736e-05,0.7413271245634458,0.31911321842762863,mainHall,0.7880000000000001,0,0,0.3555555555555556,0,0
44,10126,4.258505689653925e-05,0.052464105549088084,0.6560902159287499,exhibition,0.172,0,0,0.3555555555555556,0,0
45,10127,1.3904574616097156e-05,0.7481567714396586,0.7919010700326776,mainHall,0.86,0,0,0.6666666666666667,0,0
46,10134,1.6649121949389842e-05,0.7810632518432286,0.3079643749599539,mainHall,0.72,0,0,0.5333333333333333,0,0
47,10135,1.6861070723080014e-05,0.12852153667054714,0.7949509835330302,hallA,0.632,0,0,0.4444444444444445,0,0
48,10136,1.3914467247692402e-05,0.7745440434613893,0.7769334273082591,mainHall,0.8320000000000001,0,0,0.5777777777777778,0,0
49,10143,1.4936970845695417e-05,0.7729918509895227,0.3218299481002115,mainHall,0.7760000000000001,0,0,0.4444444444444445,0,0
50,10145,1.2026210585202425e-05,0.7565386107877377,0.7933619529698213,mainHall,0.82,0,0,0.6666666666666667,0,0
51,10146,1.1202465394572424e-05,0.6047341870391929,0.27500480553597745,other,0.196,0,0,0.26666666666666666,0,0
52,10148,4.22419626725914e-05,0.062087698874660466,0.6508361632600757,other,0.204,0,0,0.3111111111111111,0,0
53,10150,1.0645387739158764e-05,0.7354287931703531,0.7723457422951241,mainHall,0.792,0,0,0.5777777777777778,0,0
54,10151,2.3057646626875484e-05,0.586418315871168,0.3230857948356507,mainHall,0.4640000000000001,0,0,0.3555555555555556,0,0
55,10152,1.5775415343426018e-05,0.7565386107877377,0.2731851092458512,mainHall,0.3880000000000001,0,0,0.4,0,0
56,10160,1.2367468433145208e-05,0.7736127279782693,0.3359005574421734,mainHall,0.7760000000000001,0,0,0.4,0,0
57,10162,1.611873501594565e-05,0.7624369421808305,0.7947459473313258,mainHall,0.84,0,0,0.5777777777777778,0,0
58,10163,1.1080401463088087e-05,0.7397749320915794,0.7710642660344718,mainHall,0.812,0,0,0.6666666666666667,0,0
59,10164,3.7487798088359055e-06,0.8819557625145518,0.7945921701800475,register,2.2119999999999997,0,1,0.26666666666666666,0,0
60,10167,1.0845062089963002e-05,0.790686845168801,0.7657076952649452,mainHall,0.8080000000000002,0,0,0.6222222222222222,0,0
61,10170,1.826061180122457e-05,0.6006984866123399,0.3306721342987121,mainHall,0.48,0,0,0.4,0,0
62,10172,1.5099103562532667e-05,0.7658517656189368,0.32352149676427244,mainHall,0.792,0,0,0.4444444444444445,0,0
63,10178,1.473144525925343e-05,0.7621265036864572,0.284897802268213,mainHall,0.7,0,0,0.4444444444444445,0,0
64,10181,1.3241940186718095e-05,0.6953822273961972,0.3217274299993593,mainHall,0.708,0,0,0.3111111111111111,0,1
65,10182,1.0362269602831523e-05,0.7515715948777649,0.7844941372461075,mainHall,0.8560000000000001,0,0,0.6222222222222222,0,0
66,10185,1.78172723934947e-05,0.4833527357392317,0.3335939001729993,mainHall,0.204,0,0,0.26666666666666666,0,0
67,10192,1.454478802889515e-05,0.6857586340706248,0.7827513295316204,mainHall,0.648,0,0,0.6222222222222222,0,0
68,10194,1.775669720716659e-05,0.7124563445867288,0.33095405907605563,mainHall,0.68,0,0,0.4444444444444445,0,0
69,10196,5.768939482454962e-06,0.8953046177726041,0.7952329083103735,register,2.184,0,1,0.3111111111111111,0,0
70,10201,1.990481767796433e-05,0.73325572370974,0.33469596975716026,mainHall,0.4480000000000001,0,0,0.4888888888888889,0,0
71,10202,9.822926666693002e-06,0.14155995343422587,0.7878259755238034,hallB,0.456,0,0,0.4,0,0
72,10204,1.3770400135677949e-05,0.6783081102056655,0.7653488819119626,mainHall,0.652,0,0,0.6666666666666667,0,0
73,10205,1.5224773477778077e-05,0.7136980985642221,0.7700134555007369,mainHall,0.7160000000000001,0,0,0.6666666666666667,0,0
74,10206,1.3320146260272334e-05,0.7810632518432286,0.78872300890626,mainHall,0.74,0,0,0.6666666666666667,0,0
75,10214,1.3244831285836884e-05,0.7574699262708576,0.7975395655795476,mainHall,0.8760000000000001,0,0,0.5333333333333333,1,0
76,10216,1.0410022275416946e-05,0.7379123011253396,0.32608444928557695,mainHall,0.792,0,0,0.26666666666666666,0,0
77,10221,1.6100464968866793e-05,0.5261932479627474,0.3178573716921894,mainHall,0.28800000000000003,0,0,0.3555555555555556,0,0
78,10225,1.734815648186965e-05,0.5969732246798604,0.3274940731722945,mainHall,0.4440000000000001,0,0,0.4,0,0
79,10231,1.2991332837269127e-05,0.7611951882033372,0.7714230793874544,mainHall,0.7880000000000001,0,0,0.7111111111111111,0,0
