sid,floor,x,y,y_axis,x_axis
10019,1,0,19,1,19
10110,1,1,10,2,10
10111,1,1,11,2,11
10112,1,1,12,2,12
10113,1,1,13,2,13
10114,1,1,14,2,14
10115,1,1,15,2,15
10116,1,1,16,2,16
10117,1,1,17,2,17
10118,1,1,18,2,18
10119,1,1,19,2,19
10201,1,2,1,3,1
10202,1,2,2,3,2
10203,1,2,3,3,3
10204,1,2,4,3,4
10205,1,2,5,3,5
10206,1,2,6,3,6
10207,1,2,7,3,7
10208,1,2,8,3,8
10209,1,2,9,3,9
10210,1,2,10,3,10
10211,1,2,11,3,11
10215,1,2,15,3,15
10216,1,2,16,3,16
10217,1,2,17,3,17
10218,1,2,18,3,18
10219,1,2,19,3,19
10220,1,2,20,3,20
10221,1,2,21,3,21
10222,1,2,22,3,22
10223,1,2,23,3,23
10224,1,2,24,3,24
10301,1,3,1,4,1
10302,1,3,2,4,2
10303,1,3,3,4,3
10304,1,3,4,4,4
10305,1,3,5,4,5
10306,1,3,6,4,6
10307,1,3,7,4,7
10308,1,3,8,4,8
10309,1,3,9,4,9
10310,1,3,10,4,10
10311,1,3,11,4,11
10315,1,3,15,4,15
10316,1,3,16,4,16
10317,1,3,17,4,17
10318,1,3,18,4,18
10319,1,3,19,4,19
10320,1,3,20,4,20
10321,1,3,21,4,21
10322,1,3,22,4,22
10323,1,3,23,4,23
10324,1,3,24,4,24
10325,1,3,25,4,25
10326,1,3,26,4,26
10327,1,3,27,4,27
10401,1,4,1,5,1
10402,1,4,2,5,2
10403,1,4,3,5,3
10404,1,4,4,5,4
10405,1,4,5,5,5
10406,1,4,6,5,6
10407,1,4,7,5,7
10408,1,4,8,5,8
10409,1,4,9,5,9
10410,1,4,10,5,10
10411,1,4,11,5,11
10415,1,4,15,5,15
10416,1,4,16,5,16
10417,1,4,17,5,17
10418,1,4,18,5,18
10419,1,4,19,5,19
10420,1,4,20,5,20
10421,1,4,21,5,21
10422,1,4,22,5,22
10423,1,4,23,5,23
10424,1,4,24,5,24
10425,1,4,25,5,25
10426,1,4,26,5,26
10427,1,4,27,5,27
10501,1,5,1,6,1
10502,1,5,2,6,2
10503,1,5,3,6,3
10504,1,5,4,6,4
10505,1,5,5,6,5
10506,1,5,6,6,6
10507,1,5,7,6,7
10508,1,5,8,6,8
10509,1,5,9,6,9
10510,1,5,10,6,10
10511,1,5,11,6,11
10515,1,5,15,6,15
10516,1,5,16,6,16
10517,1,5,17,6,17
10518,1,5,18,6,18
10519,1,5,19,6,19
10520,1,5,20,6,20
10521,1,5,21,6,21
10522,1,5,22,6,22
10523,1,5,23,6,23
10524,1,5,24,6,24
10525,1,5,25,6,25
10526,1,5,26,6,26
10527,1,5,27,6,27
10601,1,6,1,7,1
10602,1,6,2,7,2
10603,1,6,3,7,3
10604,1,6,4,7,4
10605,1,6,5,7,5
10606,1,6,6,7,6
10607,1,6,7,7,7
10608,1,6,8,7,8
10609,1,6,9,7,9
10610,1,6,10,7,10
10611,1,6,11,7,11
10615,1,6,15,7,15
10616,1,6,16,7,16
10617,1,6,17,7,17
10618,1,6,18,7,18
10619,1,6,19,7,19
10620,1,6,20,7,20
10621,1,6,21,7,21
10622,1,6,22,7,22
10623,1,6,23,7,23
10624,1,6,24,7,24
10625,1,6,25,7,25
10626,1,6,26,7,26
10627,1,6,27,7,27
10701,1,7,1,8,1
10702,1,7,2,8,2
10703,1,7,3,8,3
10704,1,7,4,8,4
